"dist_code","district","total","amind","asian","black","hispanic","white","multiple","lep","ed"
"026","Jefferson Parish",47653,0.00316874068788953,0.0463979182842633,0.33634818374499,0.372064717856169,0.217866661070657,0.0241537783560321,0.203533880343315,0.762344448408285
"038","Plaquemines Parish",3728,0.0136802575107296,0.0525751072961373,0.243830472103004,0.116952789699571,0.517972103004292,0.0549892703862661,0.0359442060085837,0.711105150214592
"044","St. Bernard Parish",7815,0.00422264875239923,0.0229046705054383,0.311580294305822,0.18554062699936,0.434548944337812,0.0412028150991683,0.0976327575175944,0.955470249520154
"045","St. Charles Parish",9397,0.00287325742258168,0.0130892838139832,0.32648717675854,0.109928700649143,0.507608811322763,0.0400127700329893,0.0243694796211557,0.494413110567202
"047","St. James Parish",3437,0.00145475705557172,0.00232761128891475,0.605760837940064,0.0148385219668315,0.364853069537387,0.0107652022112307,0.00232761128891475,0.58539423916206
"048","St. John the Baptist Parish",5031,0.00139137348439674,0.00457165573444643,0.727092029417611,0.148280659908567,0.0926257205326973,0.0260385609222819,0.0649970184853906,0.797257006559332
"052","St. Tammany Parish",37057,0.0029414145775427,0.0142213347005964,0.210594489570122,0.0996842701783739,0.631891410529725,0.0406670804436409,0.0303316512399817,0.446906117602612
"CHA","Type 2 Charters",27623,0.00586467798573652,0.0119465662672411,0.517431126235384,0.092929804872751,0.334865872642363,0.0369619519965246,0.0311334757267494,0.704195778879919
"R36","Orleans Parish",43952,0.00232071350564252,0.015744448489261,0.761512559155442,0.117673825991991,0.0810657080451402,0.0216827448125228,0.0821350564251911,0.815639788860575
